@RELATION 9_startTime
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
491,15
513,1
588,4
594,1
923,2
981,9
992,1
996,29
1047,0
474,3
979,0
981,4
549,9
561,7
715,0
718,3
455,1
470,7
480,5
723,3
741,2
878,1
940,1
1039,7
1049,1
495,3
500,0
501,12
515,3
543,5
577,0
582,1
838,1
845,0
1120,2
1124,0
526,8
537,3
542,8
589,3
593,0
833,2
838,1
1068,12
1081,1
1084,2
1090,1
409,10
448,1
551,1
1091,6
1098,9
1114,8
525,9
572,2
597,9
818,5
1197,2
1226,1
1233,0
1252,0
1282,1
1324,0
507,8
524,7
536,6
606,3
617,3
621,1
629,2
830,0
999,0
1003,1
537,10
556,5
563,5
842,3
1090,4
1142,3
370,10
383,1
386,1
1048,8
1091,5
1112,1
1168,1
459,12
500,7
906,1
1155,14
541,14
572,3
591,0
1014,30
1045,5
1074,1
433,7
1133,2
1138,19
601,4
1166,10
1178,3
1235,1
474,4
485,2
521,2
500,6
513,2
549,1
574,11
808,4
818,2
381,14
395,8
411,1
442,1
558,7
1103,4
1109,3
1121,0
1129,1
524,10
812,3
508,13
524,1
595,11
690,27
722,15
838,11
958,5
548,5
557,2
923,4
928,6
538,6
560,10
1074,6
1082,0
1085,1
1089,1
520,3
525,17
643,3
1026,47
1297,3
1303,3
438,12
917,9
1117,8
1128,8
1154,1
536,16
617,6
624,1
837,6
1046,13
539,7
1074,15
357,7
368,1
475,3
1208,17
516,6
529,2
654,1
1068,7
470,16
519,7
1152,10
1166,2
359,20
1044,2
1049,19
1071,3
1077,7
587,1
606,1
608,0
611,1
843,9
514,10
526,6
612,6
924,5
930,8
1021,32
538,15
1031,3
362,3
481,2
991,17
365,12
383,1
520,5
526,5
364,13
451,4
691,29
726,4
941,31
1004,2
1038,1
362,4
369,5
597,10
620,12
635,1
751,7
776,2
811,1
1191,7
1203,1
520,5
590,11
603,6
916,32
949,0
960,1
1058,4
513,16
593,8
430,11
660,7
670,1
673,5
855,24
1225,12
528,17
635,3
641,1
916,16
1045,23
1110,31
508,4
517,5
619,7
629,1
1075,56
1174,1
472,3
478,12
714,13
1020,45
497,3
507,9
784,6
636,22
963,9
974,33
1007,3
1016,4
1026,1
1035,2
1068,3
1099,2
1105,7
540,9
554,2
941,18
966,19
993,26
422,13
676,10
690,13
724,5
936,12
1032,8
1137,8
399,6
409,2
415,3
723,85
831,6
841,48
904,8
1009,5
364,2
376,1
614,40
659,14
678,2
956,9
966,3
1056,6
363,8
375,2
628,9
551,8
676,12
1045,7
1078,9
1114,17
519,4
526,10
553,6
618,24
718,16
761,14
951,11
1160,7
431,7
440,3
581,16
742,26
1084,9
465,18
656,5
703,8
718,18
746,16
1003,14
1160,6
423,10
846,5
852,1
1133,18
1163,7
1225,0
653,8
664,6
671,3
715,0
717,0
882,0
364,5
371,7
996,10
1008,4
1225,3
530,12
657,2
952,1
954,10
966,5
972,3
504,19
536,0
599,4
605,1
614,3
826,6
966,24
1025,5
1034,12
1052,3
1060,3
1072,5
487,13
509,3
518,2
596,3
419,9
434,3
622,0
810,4
1161,2
1166,1
1169,3
497,13
636,3
642,5
962,18
991,3
1130,2
1134,4
1144,8
1155,4
1161,1
1168,2
574,8
584,6
594,2
617,5
790,10
938,10
513,3
521,3
607,6
644,6
942,30
976,22
1054,12
425,10
518,3
1158,10
1170,14
1197,5
546,6
555,4
560,0
602,5
609,1
867,4
876,2
1054,14
1072,4
508,3
514,4
612,4
618,1
868,7
876,1
429,4
435,2
634,2
638,1
827,9
1087,0
1088,17
1137,3
502,14
575,4
627,2
634,1
636,1
848,11
1067,2
1072,13
536,2
547,1
805,14
821,7
989,10
1001,42
1046,3
1104,36
1142,1
1150,1
1152,3
1188,14
1204,7
1214,2
524,3
534,3
629,14
644,1
674,10
790,5
874,5
898,5
920,3
991,5
1179,5
1197,4
1204,1
485,3
497,1
586,6
645,2
925,20
1109,20
1135,1
524,10
537,0
598,8
668,5
913,32
998,7
1012,6
1032,7
1053,9
1073,12
1087,3
1092,4
1099,21
527,8
543,1
609,3
617,2
882,5
892,2
1197,7
1207,1
1221,2
425,3
432,3
629,12
642,5
811,14
1068,5
1074,4
1080,0
1100,2
1216,4
422,9
434,0
516,2
626,3
856,10
868,3
1014,3
1023,4
468,16
570,0
573,2
876,2
963,3
991,3
1025,3
1041,2
309,28
354,1
770,11
1212,11
486,8
496,2
509,1
622,1
833,1
834,2
985,1
1001,0
1073,8
1113,6
482,7
494,1
537,12
605,1
614,52
667,13
739,23
843,15
1012,4
1020,15
1048,32
1080,11
1146,3
1157,8
1170,13
512,4
603,4
614,6
682,15
1129,5
1138,1
1141,1
