@RELATION 6_startTime
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
340,2
258,2
263,3
34,0
223,3
229,1
340,3
30,2
331,2
313,2
271,3
317,3
332,3
37,1
24,0
178,3
339,4
36,0
211,3
17,3
1339,1
344,3
353,3
37,2
339,2
48,3
342,3
351,3
324,4
1424,1
321,3
98,0
39,1
363,2
272,4
40,2
452,3
1379,1
275,3
259,3
20,2
315,2
245,2
189,3
1423,2
227,3
183,3
380,3
42,0
313,3
366,2
87,0
425,2
443,4
23,0
313,4
54,0
367,3
31,1
33,0
310,2
202,2
294,6
264,2
375,2
342,2
488,3
354,2
435,3
350,3
330,3
245,3
366,3
337,2
345,3
294,4
365,2
368,0
265,2
356,3
