@RELATION 3_startTime
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
596,2
599,3
925,3
1055,1
985,3
568,9
722,7
755,13
486,7
728,11
744,6
758,16
880,2
910,2
942,13
1027,4
1050,10
1237,2
603,21
628,9
688,2
846,10
1125,9
827,6
840,8
1086,3
1092,7
1102,3
1111,7
1135,5
563,5
1108,5
1122,10
607,6
824,7
1330,4
1337,7
637,5
831,11
1005,8
846,7
1147,12
388,7
908,21
931,8
1171,7
592,10
440,1
1158,17
1182,20
1242,19
601,18
586,7
830,46
566,4
815,12
941,25
648,23
1307,6
1156,7
626,5
972,12
1094,9
604,7
1095,5
478,4
1228,18
655,6
1170,12
615,4
618,6
940,13
1054,9
1039,10
484,3
1010,11
1039,12
782,11
794,16
818,6
842,20
1207,12
1221,5
610,5
951,6
963,5
601,7
679,4
642,4
631,6
1176,8
796,4
644,3
778,13
484,6
1166,11
1226,37
719,6
896,18
1093,7
1229,4
660,5
1078,7
599,6
623,4
648,5
804,14
614,6
611,11
880,3
620,5
643,23
637,4
1085,11
1098,3
687,44
608,6
1121,6
619,1
621,5
514,2
648,5
576,3
624,3
1001,6
858,2
1092,19
1115,4
1183,1
518,4
622,5
