@RELATION 12-5_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
507,6
515,53
574,0
584,4
593,1
596,0
599,0
602,0
604,84
693,7
701,1
703,0
703,3
707,178
515,0
537,6
545,21
570,4
577,4
672,2
674,93
537,11
559,1
568,0
577,0
581,46
630,6
671,0
685,0
708,6
716,2
722,0
729,0
731,23
493,1
510,2
516,7
525,105
715,7
726,1
740,0
743,0
750,0
499,1
501,0
514,1
519,0
543,0
549,0
560,17
578,4
584,4
602,1
625,3
638,50
691,11
703,1
704,0
704,0
705,0
706,120
519,6
535,2
541,1
551,0
563,4
578,10
592,0
594,18
613,0
618,1
623,0
692,1
694,2
696,5
701,125
552,10
569,10
580,479
520,5
535,37
574,1
591,0
593,4
607,0
613,45
668,34
702,103
493,13
515,8
531,1
536,0
542,6
584,22
610,6
620,1
623,6
632,5
642,37
683,22
706,0
706,0
706,117
534,2
547,8
561,2
569,21
594,126
722,1
498,1
500,222
722,2
743,304
508,34
547,13
584,33
621,0
627,8
639,1
641,65
706,5
712,176
528,13
556,1
572,0
576,0
591,0
592,0
603,10
619,42
662,6
670,11
681,5
690,1
698,4
702,21
723,11
547,0
547,0
548,22
571,557
593,7
605,18
629,3
636,43
691,5
697,15
713,0
713,194
524,15
599,1
619,84
703,225
498,2
506,6
515,33
551,7
562,11
586,0
594,1
615,45
671,8
729,28
495,1
496,163
660,53
530,28
566,0
570,8
588,1
625,1
674,118
517,6
535,0
544,3
563,4
575,9
590,2
621,53
675,71
746,11
507,45
602,42
644,101
746,1
503,4
521,2
525,5
594,0
606,83
718,0
720,2
738,4
747,0
748,6
754,1
755,0
542,6
553,3
560,0
572,3
623,58
681,158
533,5
544,15
570,10
595,32
658,229
498,1
509,11
523,1
542,79
642,1
646,1
671,215
637,1
639,0
639,240
523,13
552,64
623,0
625,0
631,60
692,0
692,0
693,142
531,7
546,0
553,2
585,19
612,2
629,52
682,141
511,163
674,28
703,227
505,11
522,1
529,0
531,2
547,13
596,57
655,0
661,10
672,3
675,6
681,0
681,11
693,0
693,0
694,264
527,4
566,43
621,36
670,7
678,0
678,11
690,264
494,167
661,29
690,0
691,0
701,0
495,13
509,14
587,0
589,4
599,0
605,1
607,0
608,2
613,2
620,82
702,115
499,14
525,0
532,0
541,1
560,5
573,30
606,5
618,0
624,74
699,175
528,9
554,0
571,4
603,21
627,28
700,2
702,0
703,0
704,138
508,288
575,7
582,226
509,10
525,1
531,0
552,106
659,146
664,7
691,0
721,4
730,0
736,1
741,1
578,6
585,0
585,2
596,0
608,0
619,0
633,2
636,0
662,0
682,5
703,17
751,0
517,3
526,7
546,2
566,23
601,0
601,1
603,0
610,0
615,46
666,16
683,0
684,4
689,223
502,11
530,2
556,24
591,2
601,0
609,77
687,56
744,9
527,111
639,21
668,2
672,1
679,0
684,0
691,12
703,143
519,9
546,0
555,6
572,0
587,8
612,8
633,1
638,2
642,0
646,56
703,198
506,2
513,4
523,0
529,1
560,2
577,2
585,34
627,2
631,0
638,22
660,211
548,59
608,101
710,4
727,0
753,6
500,0
507,0
517,4
526,3
552,0
563,59
623,138
625,11
659,0
695,8
717,3
725,34
523,16
549,4
556,1
564,1
597,2
622,34
657,177
529,140
670,6
687,2
703,21
730,1
747,123
494,224
719,4
578,0
581,2
602,11
654,4
673,5
680,5
729,5
561,33
615,12
637,7
651,1
666,15
691,21
736,0
741,0
537,13
560,10
609,40
664,12
689,49
748,32
524,2
536,0
553,0
560,5
582,1
617,0
642,2
647,14
663,30
695,22
734,27
521,60
597,10
654,50
709,33
530,34
580,24
620,35
661,2
667,35
711,7
737,2
743,2
510,321
638,15
662,2
671,0
675,0
711,4
715,1
717,1
725,0
727,29
494,2
496,238
734,8
743,3
747,2
520,10
543,0
561,1
572,84
659,0
666,0
673,47
501,3
523,0
536,0
537,0
552,11
598,1
604,0
607,7
618,67
686,133
500,8
513,5
520,0
567,7
580,15
599,0
606,90
696,152
524,93
617,4
623,0
627,5
633,175
494,2
510,0
524,3
533,3
549,2
555,17
610,26
639,2
648,0
653,52
706,241
571,2
582,2
591,3
597,0
617,0
623,0
664,125
517,4
524,0
541,1
602,4
614,0
621,22
651,0
661,0
689,7
521,14
536,84
620,71
692,126
536,0
544,2
553,2
560,0
561,0
577,2
586,0
592,9
608,1
610,0
622,71
693,153
499,9
511,2
519,0
529,0
553,3
566,15
600,12
616,2
620,0
625,63
689,157
519,108
628,6
636,2
640,3
666,25
692,127
499,2
516,4
536,6
549,7
562,13
580,2
625,1
630,4
636,0
637,0
642,27
672,6
682,14
696,124
534,2
539,8
549,19
570,98
668,10
714,3
718,71
514,9
527,6
538,4
568,12
581,11
593,19
620,9
643,0
646,0
657,16
684,0
698,8
499,0
515,0
524,5
560,12
577,8
593,51
647,39
731,27
519,5
535,2
538,0
544,0
562,11
584,5
597,0
606,2
615,52
673,17
690,181
526,1
536,6
545,0
563,7
598,10
612,4
619,0
620,0
627,45
677,0
682,3
692,9
702,172
510,3
516,1
518,101
620,9
641,1
648,0
654,0
663,2
668,21
689,121
519,28
547,67
615,11
629,25
655,198
496,6
524,11
539,30
571,2
576,0
580,41
621,177
495,23
519,221
741,10
495,1
499,0
509,0
511,0
531,4
569,0
590,2
614,0
618,4
624,0
628,75
703,124
496,0
533,4
549,55
606,7
666,0
680,9
738,0
517,0
523,1
540,0
572,31
608,6
621,1
628,0
638,43
698,2
700,201
