@RELATION 12-4_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
1026,0
1047,0
1047,0
1053,1
1057,0
1075,0
1077,362
1019,6
1025,0
1026,1
1027,26
1054,54
1121,78
1241,5
1254,7
1005,3
1015,0
1027,0
1032,7
1047,2
1050,0
1060,0
1066,0
1095,6
1149,9
1177,14
1205,31
1240,0
1308,4
1000,2
1002,14
1016,12
1030,14
1045,7
1053,0
1059,6
1084,1
1120,0
1123,0
1124,0
1134,3
1157,3
1185,1
1197,5
1240,4
1080,0
1083,1
1086,0
1090,0
1091,0
1100,2
1105,5
1119,16
1141,0
1144,1
1150,7
1241,6
1254,13
1303,11
1059,31
1097,1
1108,0
1114,0
1122,0
1133,8
1152,2
1163,2
1194,2
1205,13
1244,5
1026,3
1047,27
1083,0
1100,0
1159,1
1184,13
1200,4
1225,0
1227,5
1233,6
1251,1
1253,9
1282,0
1283,0
998,1
1000,2
1002,0
1003,0
1004,1
1014,1
1125,1
1138,6
1174,1
1225,7
1252,1
1271,1
1006,3
1089,0
1094,48
1146,1
1160,0
1162,11
1176,0
1221,3
1246,11
1296,1
1056,20
1090,0
1096,0
1107,4
1113,0
1167,0
1169,0
1220,5
1307,9
1148,7
1170,1
1179,2
1217,3
1271,6
1298,7
1008,6
1045,0
1050,12
1074,0
1075,0
1097,1
1210,10
1303,8
1129,4
1135,3
1158,0
1175,0
1177,4
1227,5
1244,1
1288,9
999,2
1021,0
1026,0
1034,1
1047,0
1128,2
1137,4
1147,9
1163,2
1176,1
1181,1
1203,0
1233,1
1236,5
1261,0
1263,2
1282,13
1000,1
1017,9
1140,22
1216,1
1247,3
998,159
1216,17
1268,6
1078,16
1104,5
1144,9
1284,29
1009,2
1022,0
1048,2
1067,3
1079,7
1102,0
1107,1
1112,1
1119,1
1122,2
1129,0
1130,0
1142,6
1159,4
1193,3
1201,4
1246,0
1253,12
1006,6
1033,10
1047,2
1092,9
1147,1
1202,17
1293,2
1070,17
1110,10
1153,12
1200,1
1248,7
1294,4
1017,10
1027,348
1001,22
1052,32
1138,19
1168,4
1243,7
1288,5
1074,0
1081,0
1083,2
1086,2
1090,11
1115,5
1168,0
1173,3
1179,4
1238,9
1281,4
1074,1
1107,2
1115,0
1121,0
1134,3
1168,2
1187,5
1223,8
1297,0
1301,2
1307,0
1015,94
1109,7
1125,2
1136,2
1150,4
1156,0
1164,0
1216,5
1297,4
1304,0
1004,31
1044,1
1059,1
1067,1
1084,9
1104,1
1126,5
1142,13
1162,0
1176,4
1230,4
1282,16
1065,9
1090,5
1101,0
1111,0
1156,4
1177,2
1252,1
1264,14
1290,15
1143,13
1172,0
1201,1
1207,1
1226,1
1246,0
1264,1
1305,0
1010,1
1041,1
1063,5
1076,3
1093,4
1129,1
1152,11
1178,8
1246,2
1256,15
1283,3
1306,6
1046,1
1056,3
1072,2
1112,35
1152,0
1162,3
1169,1
1183,0
1187,0
1260,6
1275,16
1299,4
999,3
1012,31
1047,2
1068,2
1074,2
1085,7
1099,29
1138,8
1161,11
1196,28
1244,5
1296,2
1001,4
1033,3
1047,4
1100,11
1116,0
1124,4
1163,15
1188,1
