@RELATION 12-1_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
913,9
925,0
928,19
970,5
981,0
991,1
994,1
768,11
780,0
781,23
805,0
805,2
810,7
825,3
829,121
951,9
960,18
979,0
980,1
985,0
989,0
990,0
990,0
991,349
769,12
781,237
758,0
774,51
852,15
873,3
878,0
880,0
882,0
908,1
913,27
941,0
955,5
969,0
971,2
981,3
826,11
840,5
846,0
856,0
857,1
899,21
974,17
827,0
833,0
836,2
840,0
848,0
855,2
887,8
895,16
912,17
934,12
950,25
984,83
806,12
824,0
832,4
844,12
856,91
948,48
823,4
828,0
828,1
831,0
843,18
861,50
912,10
956,1
969,1
990,0
800,1
830,11
846,0
854,4
903,11
947,13
888,1
889,0
890,8
899,0
900,2
902,0
903,1
904,0
905,0
905,0
906,0
908,0
929,1
939,0
946,11
968,7
975,172
787,16
807,1
820,1
834,0
846,1
872,0
907,2
928,0
933,9
908,47
991,3
929,1
937,11
959,2
764,2
776,3
785,0
807,1
813,4
820,9
876,8
895,81
784,11
808,8
816,0
816,2
819,69
888,9
898,2
900,0
900,0
901,0
901,0
901,4
906,1
907,2
910,1
911,28
957,1
960,1
993,15
816,13
890,6
931,5
952,1
764,7
845,30
894,10
947,10
960,1
987,2
756,0
770,0
783,4
810,1
815,0
827,2
830,0
831,25
856,52
909,42
956,19
981,74
756,12
769,56
825,2
828,10
849,32
897,0
898,0
899,0
957,1
964,14
840,4
844,0
845,18
879,1
920,2
928,0
934,7
967,2
899,2
953,59
948,78
880,3
895,5
909,7
927,0
973,41
835,1
843,0
865,6
872,39
912,8
936,19
960,2
967,4
984,11
996,8
823,5
887,3
930,3
959,4
989,7
931,1
932,0
932,16
959,16
954,0
955,0
955,0
956,0
956,1
958,0
958,31
783,57
845,32
882,37
926,57
818,7
825,16
842,0
852,0
864,0
876,56
989,4
997,2
875,6
881,0
882,9
891,25
917,7
929,1
939,0
953,33
842,15
873,10
908,4
923,1
935,11
995,14
796,4
815,15
840,14
861,8
869,115
985,5
808,3
851,0
957,32
805,23
847,34
888,2
896,20
926,5
971,0
989,1
773,27
846,3
900,5
941,0
972,4
759,17
779,3
793,0
811,0
812,6
825,5
841,0
862,1
866,6
879,8
896,20
916,1
918,16
935,247
912,4
949,0
950,0
957,2
962,0
968,5
979,10
993,42
760,1
762,202
964,7
985,2
995,6
847,8
879,0
902,3
901,14
932,0
949,2
959,10
969,63
872,1
904,7
940,82
766,30
799,8
808,140
949,71
761,23
791,5
801,0
806,6
812,72
884,4
889,2
892,3
906,41
977,29
763,36
806,32
863,3
902,18
927,15
963,0
972,1
835,7
852,10
881,4
885,20
906,25
939,2
960,6
985,7
871,61
933,3
948,1
969,40
809,0
816,0
821,0
830,1
838,3
890,2
897,1
904,0
913,29
965,44
756,98
865,0
885,2
888,0
888,3
892,51
944,12
965,0
970,1
975,0
993,4
816,14
839,27
867,4
871,22
894,202
781,120
902,49
951,1
953,92
776,2
791,39
848,9
870,64
946,4
962,11
991,0
769,13
788,4
801,5
846,10
897,3
951,3
962,3
970,8
762,0
782,220
832,7
846,0
851,0
853,0
878,4
888,0
898,13
986,16
760,2
770,0
776,0
793,3
833,0
877,4
882,13
914,50
786,38
824,136
961,3
977,2
996,0
781,70
852,3
855,0
856,92
949,3
954,0
965,0
971,1
975,1
983,1
988,7
820,6
832,0
844,1
852,0
857,1
879,4
884,29
914,51
990,0
849,38
892,4
915,20
947,8
956,224
809,1
815,3
831,1
843,4
862,3
948,13
980,0
990,0
994,0
800,3
818,0
856,5
865,4
908,12
933,4
948,4
971,19
995,0
766,69
851,1
871,1
881,1
942,0
973,2
818,47
866,290
847,7
863,4
872,4
879,1
884,5
889,18
908,14
943,2
963,5
983,34
846,0
857,11
876,0
878,6
913,0
921,1
969,47
819,8
837,5
873,6
882,3
899,7
982,27
821,27
859,0
873,1
964,44
789,16
820,1
829,0
871,0
893,1
930,53
986,3
790,0
795,0
799,75
880,18
903,17
923,67
997,182
759,158
917,7
945,1
954,1
982,13
872,9
881,26
908,4
946,2
965,32
875,7
887,4
894,0
910,2
940,98
811,0
826,0
839,0
856,1
880,1
909,133
854,2
867,0
872,13
964,8
981,0
986,1
997,17
799,17
862,3
876,0
879,8
927,3
936,27
967,0
990,0
995,0
770,0
781,0
805,0
845,1
828,4
834,0
836,0
842,4
855,33
918,0
918,3
922,4
975,10
987,0
762,0
811,3
843,0
858,0
861,11
886,22
955,12
976,14
902,19
930,1
994,33
