@RELATION 9-2_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
491,15
513,1
588,4
594,1
474,3
549,9
561,7
715,0
718,3
455,1
470,7
480,5
723,3
741,2
495,3
500,0
501,12
515,3
543,5
577,0
582,1
526,8
537,3
542,8
589,3
593,0
409,10
448,1
551,1
525,9
572,2
597,9
507,8
524,7
536,6
606,3
617,3
621,1
629,2
537,10
556,5
563,5
370,10
383,1
386,1
459,12
500,7
541,14
572,3
591,0
433,7
601,4
474,4
485,2
521,2
500,6
513,2
549,1
574,11
381,14
395,8
411,1
442,1
558,7
524,10
508,13
524,1
595,11
690,27
722,15
548,5
557,2
538,6
560,10
520,3
525,17
643,3
438,12
536,16
617,6
624,1
539,7
357,7
368,1
475,3
516,6
529,2
654,1
470,16
519,7
359,20
587,1
606,1
608,0
611,1
514,10
526,6
612,6
538,15
362,3
481,2
365,12
383,1
520,5
526,5
364,13
451,4
691,29
726,4
362,4
369,5
597,10
620,12
635,1
751,7
776,2
520,5
590,11
603,6
513,16
593,8
430,11
660,7
670,1
673,5
528,17
635,3
641,1
508,4
517,5
619,7
629,1
472,3
478,12
714,13
497,3
507,9
784,6
636,22
540,9
554,2
422,13
676,10
690,13
724,5
399,6
409,2
415,3
723,85
364,2
376,1
614,40
659,14
678,2
363,8
375,2
628,9
551,8
676,12
519,4
526,10
553,6
618,24
718,16
761,14
431,7
440,3
581,16
742,26
465,18
656,5
703,8
718,18
746,16
423,10
653,8
664,6
671,3
715,0
717,0
364,5
371,7
530,12
657,2
504,19
536,0
599,4
605,1
614,3
487,13
509,3
518,2
596,3
419,9
434,3
622,0
497,13
636,3
642,5
574,8
584,6
594,2
617,5
790,10
513,3
521,3
607,6
644,6
425,10
518,3
546,6
555,4
560,0
602,5
609,1
508,3
514,4
612,4
618,1
429,4
435,2
634,2
638,1
502,14
575,4
627,2
634,1
636,1
536,2
547,1
524,3
534,3
629,14
644,1
674,10
790,5
485,3
497,1
586,6
645,2
524,10
537,0
598,8
668,5
527,8
543,1
609,3
617,2
425,3
432,3
629,12
642,5
422,9
434,0
516,2
626,3
468,16
570,0
573,2
309,28
354,1
770,11
486,8
496,2
509,1
622,1
482,7
494,1
537,12
605,1
614,52
667,13
739,23
512,4
603,4
614,6
682,15
