@RELATION 2-4_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
569,4
575,1
671,14
494,16
513,3
631,83
520,23
550,10
589,13
551,11
567,10
613,4
619,4
429,16
450,22
576,15
532,3
549,35
590,4
400,7
493,5
543,4
560,24
618,3
557,14
576,15
686,4
691,6
624,4
632,4
539,60
595,20
680,49
396,16
516,14
590,35
626,48
536,8
548,15
567,7
585,4
592,29
553,49
531,63
561,11
576,47
581,14
627,31
499,10
622,20
546,7
556,29
372,29
523,5
534,12
561,35
531,34
610,11
657,12
382,26
523,63
594,4
599,5
532,8
542,18
565,7
603,2
555,15
575,28
374,12
389,8
386,11
410,22
532,19
378,18
671,20
375,14
588,8
608,11
637,25
663,19
688,15
534,12
549,17
662,4
532,23
580,11
443,11
455,10
546,8
561,10
573,14
596,16
621,12
524,4
531,29
562,15
580,4
491,57
500,7
521,4
530,22
553,10
660,35
703,13
557,7
565,31
599,22
435,15
419,15
578,2
583,18
685,43
371,3
378,31
416,10
437,123
595,19
645,6
652,14
681,9
571,38
649,14
536,16
565,16
584,32
693,2
446,18
476,14
503,17
607,47
483,0
523,7
565,14
605,15
663,3
435,10
675,35
378,8
388,15
469,4
543,18
562,9
524,12
537,14
563,35
521,46
574,5
441,20
511,13
528,4
536,12
551,3
572,37
597,20
623,40
524,16
543,59
651,10
697,69
536,7
561,16
579,7
587,5
519,9
530,22
556,9
581,18
437,18
521,14
542,7
556,5
582,42
679,2
542,25
613,7
646,11
684,14
499,15
516,8
529,30
572,5
538,5
545,16
573,10
589,7
545,17
570,28
672,4
678,4
686,6
435,7
444,19
502,7
435,9
450,12
488,8
503,21
535,4
337,16
355,36
493,1
499,10
511,19
536,32
569,20
592,22
496,36
689,48
524,16
541,30
628,9
