@RELATION 2-5_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
975,6
1026,20
1048,5
961,7
974,7
984,21
1008,6
1016,11
929,4
947,2
975,8
997,28
1029,18
1016,109
958,9
929,4
942,65
995,4
1002,19
1022,4
1027,7
1036,10
1047,80
930,6
948,10
961,38
1001,16
1027,112
976,21
940,17
958,1
961,32
1008,69
936,15
953,55
1012,10
1050,17
962,24
989,17
1013,20
1049,43
952,3
976,5
969,32
1024,28
1012,62
928,45
955,4
962,4
1036,8
963,26
997,67
949,194
975,34
1011,29
1042,21
989,57
1048,7
994,3
999,1
1005,27
1036,11
1051,48
925,9
946,49
1008,5
1019,33
990,63
931,39
971,18
991,128
977,26
1022,15
1052,55
973,5
989,3
1036,14
971,13
987,7
1002,10
1022,8
1032,30
933,16
951,7
1023,7
1038,32
948,28
943,19
1011,4
1020,5
1028,6
1039,29
931,7
1020,37
950,18
1009,5
972,3
975,17
997,55
935,11
974,17
992,15
1010,5
1018,85
955,7
966,4
979,26
1008,17
1031,12
1046,9
1022,42
1002,26
1041,53
964,66
964,12
979,16
1013,78
976,6
984,3
995,13
1011,14
1028,15
1045,55
990,31
935,11
1029,43
981,9
994,16
1017,16
1034,95
952,18
996,43
1042,81
923,20
945,18
969,13
1017,9
1009,28
1040,38
1009,3
983,2
946,7
955,26
995,15
1016,10
1041,48
948,17
1006,6
1021,10
1039,13
1039,28
1043,22
1028,44
930,6
968,22
995,21
1028,11
1043,40
1035,176
926,49
987,13
1013,60
968,8
991,21
1036,11
931,63
