@RELATION 9-1_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
923,2
981,9
992,1
996,29
1047,0
979,0
981,4
878,1
940,1
1039,7
1049,1
1120,2
1124,0
1068,12
1081,1
1084,2
1090,1
1091,6
1098,9
1114,8
1197,2
1226,1
1233,0
1252,0
1282,1
1324,0
999,0
1003,1
1090,4
1142,3
1048,8
1091,5
1112,1
1168,1
906,1
1155,14
1014,30
1045,5
1074,1
1133,2
1138,19
1166,10
1178,3
1235,1
1103,4
1109,3
1121,0
1129,1
958,5
923,4
928,6
1074,6
1082,0
1085,1
1089,1
1026,47
1297,3
1303,3
917,9
1117,8
1128,8
1154,1
1046,13
1074,15
1208,17
1068,7
1152,10
1166,2
1044,2
1049,19
1071,3
1077,7
924,5
930,8
1021,32
1031,3
991,17
941,31
1004,2
1038,1
1191,7
1203,1
916,32
949,0
960,1
1058,4
1225,12
916,16
1045,23
1110,31
1075,56
1174,1
1020,45
963,9
974,33
1007,3
1016,4
1026,1
1035,2
1068,3
1099,2
1105,7
941,18
966,19
993,26
936,12
1032,8
1137,8
904,8
1009,5
956,9
966,3
1056,6
1045,7
1078,9
1114,17
951,11
1160,7
1084,9
1003,14
1160,6
1133,18
1163,7
1225,0
882,0
996,10
1008,4
1225,3
952,1
954,10
966,5
972,3
966,24
1025,5
1034,12
1052,3
1060,3
1072,5
1161,2
1166,1
1169,3
962,18
991,3
1130,2
1134,4
1144,8
1155,4
1161,1
1168,2
938,10
942,30
976,22
1054,12
1158,10
1170,14
1197,5
876,2
1054,14
1072,4
876,1
1087,0
1088,17
1137,3
1067,2
1072,13
989,10
1001,42
1046,3
1104,36
1142,1
1150,1
1152,3
1188,14
1204,7
1214,2
874,5
898,5
920,3
991,5
1179,5
1197,4
1204,1
925,20
1109,20
1135,1
913,32
998,7
1012,6
1032,7
1053,9
1073,12
1087,3
1092,4
1099,21
882,5
892,2
1197,7
1207,1
1221,2
1068,5
1074,4
1080,0
1100,2
1216,4
1014,3
1023,4
876,2
963,3
991,3
1025,3
1041,2
1212,11
985,1
1001,0
1073,8
1113,6
1012,4
1020,15
1048,32
1080,11
1146,3
1157,8
1170,13
1129,5
1138,1
1141,1
