@RELATION 2-1_duration
@ATTRIBUTE startTime Numeric
@ATTRIBUTE duration Numeric
@data
886,26
818,7
826,26
883,25
858,40
920,54
848,6
857,29
837,7
801,29
858,44
915,32
803,4
809,11
822,12
835,11
848,23
786,21
796,11
793,23
830,60
897,34
875,18
905,41
787,23
882,15
899,57
864,15
880,39
887,11
901,51
883,11
900,8
843,21
921,14
829,58
852,11
864,11
884,24
912,11
800,14
811,39
852,105
829,18
882,6
890,5
916,9
801,45
849,50
905,35
887,8
879,22
905,141
912,28
796,3
802,3
895,10
800,5
838,25
867,35
921,6
842,9
863,18
809,6
816,4
821,8
892,4
898,5
830,8
830,17
857,12
782,6
793,7
807,39
856,41
901,50
840,5
882,6
889,9
912,73
796,36
833,43
832,11
845,6
853,4
859,20
888,4
896,18
818,12
833,10
847,15
865,162
818,37
861,4
870,38
920,12
836,14
852,19
872,8
882,60
855,8
847,10
884,28
842,30
879,2
885,14
907,75
859,13
875,89
829,41
872,21
895,35
795,4
895,14
912,27
826,12
840,15
857,23
881,27
817,45
866,9
887,39
782,23
805,40
846,174
836,5
846,9
815,28
873,13
909,45
922,7
